slug,soc_code,title,matched_label,match_score,review_required,top2_label,top2_score,top3_label,top3_score,llm_soc_code,llm_confidence,llm_reason,llm_model,llm_review_required,llm_candidates,api_soc_code,api_soc_title,api_match_method,api_score
advertising-art-director,1137,Advertising art director,Information technology directors,95.2,no,Advertising accounts managers and creative directors,92.9,"Marketing, sales and advertising directors",84.6,2494,0.960,"'Advertising art director' is a senior creative role within advertising. Among the allowed options, SOC 2494 explicitly covers advertising creative directors, making it the best fit. Other options are either broader director roles or non-creative/irrelevant occupations.",openai/gpt-5.4,yes,2494|1132|1134|1172|5323|3554|1131|1241,1137,Information technology directors,fuzzy,95.2
advertising-copywriter,3412,Advertising copywriter,"Authors, writers and translators",100.0,no,Printers,83.3,Advertising accounts managers and creative directors,73.7,2494,0.740,"'Advertising copywriter' is a creative advertising role. Among the allowed candidates, 2494 (Advertising accounts managers and creative directors) is the closest fit because it covers senior/creative advertising occupations; the other advertising options are either broader marketing support (3554) or director-level management (1132), which fit less well.",openai/gpt-5.4,yes,8214|8144|3554|1132|3211|2494|3414|3532,3412,"Authors, writers and translators",fuzzy,100.0
advertising-media-buyer,3551,Advertising media buyer,Buyers and procurement officers,100.0,no,Advertising accounts managers and creative directors,72.2,Butchers,66.7,3554,0.880,"'Advertising media buyer' is an advertising/marketing practitioner role focused on planning and purchasing media space/time, which fits best with Advertising and marketing associate professionals rather than director/manager-level roles or account management/creative director roles.",openai/gpt-5.4,yes,1132|2432|3554|5436|2494|2211|1161|6221,3551,Buyers and procurement officers,fuzzy,100.0
advertising-media-planner,2494,Advertising media planner,Advertising accounts managers and creative directors,84.8,no,"Marketing, sales and advertising directors",70.6,Advertising accounts managers and creative directors,68.4,3554,0.780,"'Advertising media planner' is an advertising/marketing support role focused on planning media campaigns rather than a senior manager/director or account manager role. Among the allowed candidates, 3554 (Advertising and marketing associate professionals) is the best fit.",openai/gpt-5.4,yes,2211|2432|2212|3554|1132|5436|2494|3431,2494,Advertising accounts managers and creative directors,manual_review_override,100.0
advocacy-worker,3229,Advocacy worker,Welfare and housing associate professionals n.e.c.,100.0,no,Sales related occupations n.e.c.,62.5,Visual merchandisers and related occupations,62.5,2461,0.600,"""Advocacy worker"" most plausibly aligns with social support and client representation/casework functions, which fit Social workers better than the other available options. While some advocacy roles can sit in community work, 3221 is less specific here; 2461 is the closest allowed match.",openai/gpt-5.4,yes,2461|6117|9111|6136|3221|8212|9121|6232,3229,Welfare and housing associate professionals n.e.c.,add_titles_exact,100.0
aerospace-engineer,2126,Aerospace engineer,Aerospace engineers,100.0,no,Engineering technicians,84.2,Production and process engineers,81.2,2126,0.990,"The job title 'Aerospace engineer' directly and exactly matches SOC 2126 'Aerospace engineers', making it the clear best fit among the allowed candidates.",openai/gpt-5.4,no,2126|2124|2121|2122|2125|2123|2481|4141,2126,Aerospace engineers,add_titles_exact,100.0
aerospace-engineering-technician,2126,Aerospace engineering technician,Aerospace engineers,100.0,no,Aerospace engineers,100.0,"Science, engineering and production technicians n.e.c.",75.0,3113,0.960,"The title explicitly states 'engineering technician', which aligns directly with SOC 3113 Engineering technicians. 'Aerospace' specifies the engineering domain but the role is technician-level rather than engineer-level, so 2126 Aerospace engineers is less appropriate.",openai/gpt-5.4,yes,3113|2126|3114|3119|3212|5421|5233|3111,2126,Aerospace engineers,fuzzy,100.0
agricultural-contractor,5111,Agricultural contractor,Farmers,100.0,no,Construction operatives n.e.c.,72.7,Agricultural and fishing trades n.e.c.,72.2,5119,0.910,"'Agricultural contractor' is most consistent with agricultural trades work carried out on a contract basis. Among the allowed options, 5119 (Agricultural and fishing trades n.e.c.) is the best fit; the other candidates are unrelated or too specific (for example, 5112 is horticultural rather than general agricultural work).",openai/gpt-5.4,yes,5112|5119|4121|5432|3412|8215|2253|4151,5111,Farmers,add_titles_exact,100.0
agricultural-engineer,2122,Agricultural engineer,Mechanical engineers,100.0,no,Civil engineers,83.3,Electrical engineers,82.4,2122,0.800,"'Agricultural engineer' is an engineering title most plausibly aligned with Mechanical engineers among the allowed options, as this role commonly involves design, maintenance and operation of agricultural machinery and equipment. The trade-based agricultural options are less suitable because the title specifies engineer rather than agricultural worker or horticultural trade.",openai/gpt-5.4,no,2122|2123|2121|2126|5119|5112|2124|2142,2122,Mechanical engineers,manual_review_override,100.0
agricultural-engineering-technician,3113,Agricultural engineering technician,Engineering technicians,100.0,no,Agricultural and fishing trades n.e.c.,77.3,Electrical engineers,75.7,3113,0.930,"The title explicitly includes 'engineering technician', which aligns directly with SOC 3113 Engineering technicians. The 'agricultural' qualifier most likely indicates the industry or equipment specialism rather than a farming trade role, so 5119 is less suitable. 3119 is broader, but 3113 is the closest specific match among the allowed candidates.",openai/gpt-5.4,yes,3113|3114|5119|3533|3119|5233|3115|3212,3113,Engineering technicians,fuzzy,100.0
agricultural-inspector,8134,Agricultural inspector,Water and sewerage plant operatives,83.9,no,Horticultural trades,68.8,Rail transport operatives,66.7,5119,0.530,"‘Agricultural inspector’ is agriculture-related, and among the allowed options 5119 (Agricultural and fishing trades n.e.c.) is the closest relevant match. The other candidates are largely unrelated. However, ‘inspector’ suggests a regulatory/compliance role rather than a hands-on agricultural trade, so confidence is only moderate.",openai/gpt-5.4,yes,5119|5112|4211|8215|3416|2112|6213|4212,8143,Routine inspectors and testers,manual_review_override,100.0
agronomist,9111,Agronomist,Farm workers,70.0,no,Telephonists,66.7,Florists,66.7,5111,0.370,"Agronomist is an agricultural specialist role concerned with crop and soil management. Among the allowed options, 5111 Farmers is the closest agriculture-related category; the other candidates are clearly unrelated. Confidence is limited because agronomist is not a direct match to farmer and would normally fit a scientific/agricultural adviser type code if available.",openai/gpt-5.4,yes,3411|2251|2252|4216|9121|2255|2256|5111,,,manual_review_override,100.0
aid-worker,3221,Aid worker,Youth and community workers,84.2,no,Air travel assistants,80.0,Aircraft maintenance and related trades,80.0,3221,0.420,"'Aid worker' is ambiguous, but among the allowed options the closest fit is 'Youth and community workers' because aid roles often involve community support, outreach, and assistance rather than manual, agricultural, or technical work. 'Social workers' is also plausible, but usually implies a more specific regulated professional role. Confidence is limited due to the broadness of the title.",openai/gpt-5.4,yes,9111|2461|6117|9121|5211|6136|6232|3221,9111,Farm workers,manual_review_override,100.0
air-accident-investigator,3541,Air accident investigator,"Estimators, valuers and assessors",88.9,no,Air travel assistants,66.7,Data entry administrators,63.4,,0.940,"'Air accident investigator' is a specialist aviation safety/inspection role. None of the allowed candidates fit well: 9233 is exam invigilators, 8233 air transport operatives covers operational airport/airline ground roles rather than accident investigation, and the others are clearly unrelated. Therefore no suitable match among the provided options.",openai/gpt-5.4,yes,4152|4151|9233|8215|8233|3534|5323|5413,3541,"Estimators, valuers and assessors",api_ranked_manual_pass,88.9
air-traffic-controller,3511,Air traffic controller,Aircraft pilots and air traffic controllers,100.0,no,Credit controllers,82.8,Air travel assistants,82.4,3511,0.990,'Air traffic controller' directly matches the occupation group 'Aircraft pilots and air traffic controllers'. This is the exact relevant SOC candidate; other options are unrelated or only share the word 'control' or 'air'.,openai/gpt-5.4,no,3511|4121|6121|4123|8233|2481|6213|5432,3511,Aircraft pilots and air traffic controllers,add_titles_exact,100.0
airline-customer-service-agent,4143,Airline customer service agent,Customer service managers,87.0,no,Travel agents,73.7,Customer service occupations n.e.c.,66.7,7219,0.800,"'Airline customer service agent' is a frontline customer-facing role, not a manager or supervisor post. Among the allowed options, 7219 (Customer service occupations n.e.c.) best fits an agent-level customer service job in a transport/airline setting.",openai/gpt-5.4,yes,4143|7220|7219|2324|1258|1257|6129|1259,4143,Customer service managers,manual_review_y,100.0
airline-pilot,3511,Airline pilot,Aircraft pilots and air traffic controllers,100.0,no,Plant and machine operatives n.e.c.,61.5,Aircraft pilots and air traffic controllers,61.5,,0.990,"'Airline pilot' maps to aircraft pilots/air traffic related occupations, which is not represented in the allowed candidate codes. The listed options (e.g., air travel assistants, logistics managers, care escorts) do not match the job title closely enough, so no valid match is available.",openai/gpt-5.4,no,6137|1243|2225|2152|9262|6213|1162|5214,3511,Aircraft pilots and air traffic controllers,add_titles_exact,100.0
airport-baggage-handler,8233,Airport baggage handler,Air transport operatives,100.0,no,Delivery operatives,66.7,Rail transport operatives,66.7,,0.980,"'Airport baggage handler' is a manual airport ground operations/handling role. None of the allowed candidates match this occupation: 5234 is aircraft maintenance trades, while the others are managers or unrelated occupations. Therefore no suitable match is available from the provided list.",openai/gpt-5.4,no,5234|1136|1224|3542|1131|2132|1134|1135,8233,Air transport operatives,fuzzy,100.0
airport-information-assistant,8233,Airport information assistant,Air transport operatives,86.2,no,Probation officers,75.0,Information technology trainers,73.3,6213,0.890,"'Airport information assistant' aligns most closely with customer-facing support roles in air travel, such as providing passenger information and assistance at airports. This fits 'Air travel assistants' better than broader transport clerical roles or operational air transport jobs.",openai/gpt-5.4,yes,8135|6213|6211|6138|4134|6214|6112|8233,4135,Library clerks and assistants,manual_review_override,100.0
ambulance-care-assistant,6132,Ambulance care assistant,Ambulance staff (excluding paramedics),100.0,no,Ambulance staff (excluding paramedics),83.3,"Senior officers in fire, ambulance, prison and related services",78.6,,0.970,"'Ambulance care assistant' is a patient transport/care support role, typically aligned with ambulance staff or care service occupations, not with any of the allowed candidates such as retail, rail travel, childcare, catering, leisure, clerical, teaching, or pharmacy assistants. Therefore none of the provided SOC codes is an appropriate match.",openai/gpt-5.4,yes,7111|6214|6111|9263|6211|4132|6112|7114,6132,Ambulance staff (excluding paramedics),add_titles_exact,100.0
anaesthetist,2212,Anaesthetist,Specialist medical practitioners,100.0,no,Optometrists,66.7,IT managers,66.7,,0.990,"Anaesthetist is a medical doctor/specialist physician role, and none of the allowed candidates correspond to doctors or anaesthetists. The listed options are unrelated occupations such as artists, therapists, optometrists, logistics managers, data analysts, and cleaners.",openai/gpt-5.4,no,3411|2222|2221|2252|1243|3544|2223|9223,2212,Specialist medical practitioners,add_titles_exact,100.0
anatomical-pathology-technician,3119,Anatomical pathology technician,"Science, engineering and production technicians n.e.c.",100.0,no,Social services managers and directors,66.7,Clinical psychologists,63.2,3213,0.840,"An anatomical pathology technician works in healthcare supporting pathology/post-mortem and specimen-related medical procedures, which fits best under medical and dental technicians. This is a much closer match than laboratory technicians or non-medical technician roles.",openai/gpt-5.4,yes,3213|5233|3212|3111|3533|3112|3113|3116,3119,"Science, engineering and production technicians n.e.c.",fuzzy,100.0
animal-care-worker,6129,Animal care worker,Animal care services occupations n.e.c.,86.7,no,Animal care services occupations n.e.c.,100.0,Houseparents and residential wardens,72.7,6129,0.980,'Animal care worker' matches SOC 6129 Animal care services occupations n.e.c. directly by title and job function. Other care-related options refer to human care or unrelated manual/agricultural roles.,openai/gpt-5.4,no,6136|2461|9111|5211|9112|3414|6129|6232,6135,Care workers and home carers,manual_review_override,100.0
animal-technician,6129,Animal technician,Animal care services occupations n.e.c,100.0,no,Financial administrative occupations n.e.c.,83.3,Financial accounts managers,83.3,3111,0.710,"'Animal technician' in the UK commonly refers to an animal/laboratory technician supporting research, husbandry, and experimental procedures in labs or research facilities. Among the allowed options, Laboratory technicians is the closest fit; the other technician categories are clearly unrelated or too specialised in different domains.",openai/gpt-5.4,yes,3212|3111|3113|3213|3131|5233|3533|5421,6129,Animal care services occupations n.e.c,add_titles_exact,100.0
animator,3411,Animator,Artists,100.0,no,Officers of non-governmental organisations,75.0,"Estimators, valuers and assessors",75.0,,0.980,"‘Animator’ is a creative/media occupation, and none of the allowed candidates fit that role. The listed options are unrelated administrative, managerial, healthcare, surveying, taxation, or exam-invigilation occupations, so no suitable match is available.",openai/gpt-5.4,no,9233|4151|2453|4152|2132|2251|2256|2423,3411,Artists,fuzzy,100.0
antique-dealer-valuer,3541,Antique dealer valuer,"Estimators, valuers and assessors",100.0,no,Butchers,60.0,Artists,60.0,3541,0.890,"'Antique dealer valuer' aligns best with valuing and assessing items, specifically antiques. Among the allowed options, 3541 'Estimators, valuers and assessors' is the clearest match; the other candidates are unrelated occupations.",openai/gpt-5.4,yes,3541|1136|8221|3421|2454|5311|6240|8213,3541,"Estimators, valuers and assessors",fuzzy,100.0
app-developer,2134,App developer,Programmers and software development professionals,100.0,no,Sales accounts and business development managers,72.0,Research and development (R&D) managers,69.2,,0.980,"'App developer' typically maps to software development/programming occupations, but none of the allowed candidates are relevant to that role. The provided options are unrelated (e.g. delivery operatives, crane drivers, taxation experts, R&D managers), so no suitable match is available.",openai/gpt-5.4,no,9253|8221|2423|2161|6137|9111|9233|8131,2134,Programmers and software development professionals,fuzzy,100.0
arboricultural-officer,5112,Arboricultural officer,Horticultural trades,84.2,no,Horticultural trades,81.5,Managers and proprietors in agriculture and horticulture,72.0,5112,0.630,"'Arboricultural officer' relates to the care, management and maintenance of trees, aligning most closely with horticultural trades among the allowed options. Other 'officer' titles listed are from unrelated administrative or enforcement occupations.",openai/gpt-5.4,yes,5112|1162|3551|3223|4124|3543|3512|6121,1162,Senior police officers,manual_review_override,100.0
archaeologist,2115,Archaeologist,Social and humanities scientists,100.0,no,Other psychologists,81.8,Clinical psychologists,81.8,,0.990,"Archaeologist is a distinct professional occupation and does not correspond to any of the allowed candidates. The listed options (psychologists, receptionist, architect, pharmacist, artist, florist, logistics manager) are not suitable matches, so no valid match is available.",openai/gpt-5.4,no,2226|2225|4216|2451|2251|3411|5443|1243,2115,Social and humanities scientists,add_titles_exact,100.0
architect,2451,Architect,Architects,100.0,no,"Chartered architectural technologists, planning officers and consultants",100.0,Architects,100.0,2451,0.990,The job title 'Architect' directly matches SOC 2451 'Architects'. It is the exact occupational title and has by far the highest similarity among the allowed candidates.,openai/gpt-5.4,no,2451|2251|3411|5422|3553|5434|6112|6232,2451,Architects,add_titles_exact,100.0
architectural-technician,3120,Architectural technician,"CAD, drawing and architectural technicians",100.0,no,"Chartered architectural technologists, planning officers and consultants",100.0,Architects,100.0,3120,0.980,"'Architectural technician' directly matches CAD, drawing and architectural technicians. This is the most specific and clearly relevant option among the allowed candidates.",openai/gpt-5.4,no,3120|3212|3131|3115|5421|3111|3132|5233,3120,"CAD, drawing and architectural technicians",add_titles_exact,100.0
architectural-technologist,2452,Architectural technologist,"Chartered architectural technologists, planning officers and consultants",100.0,no,Architects,100.0,IT managers,100.0,2452,0.960,"'Architectural technologist' in the UK aligns most directly with SOC 2452, which explicitly includes 'Chartered architectural technologists'. This is a much closer occupational match than 3120, which covers technician/CAD support roles rather than the professional technologist role.",openai/gpt-5.4,yes,3120|2225|3212|2451|2452|2122|2123|3231,2452,"Chartered architectural technologists, planning officers and consultants",fuzzy,100.0
archivist,2472,Archivist,"Archivists, conservators and curators",100.0,no,Sewing machinists,82.4,Architects,80.0,,0.980,"Archivist does not correspond to any of the allowed candidate SOC2020 codes listed. It is clearly not an architect, artist, pharmacist, receptionist, sewing machinist, podiatrist, teaching assistant, or childminder. The current SOC 2472 is not among the allowed options, so the best valid output is no_match.",openai/gpt-5.4,no,2451|3411|2251|4216|8146|2256|6112|6114,2472,"Archivists, conservators and curators",add_titles_exact,100.0
army-officer,1161,Army officer,Officers in armed forces,100.0,no,Officers in armed forces,85.7,Other elementary services occupations n.e.c.,75.0,,0.980,"'Army officer' is a military occupation, and none of the allowed SOC candidates correspond to armed forces roles. The listed options are unrelated civilian occupations such as finance, probation, housing, pest control, police, farming, or child/early years officers, so no valid match is available.",openai/gpt-5.4,no,4124|2462|9111|3223|6121|1162|5111|3222,1161,Officers in armed forces,add_titles_exact,100.0
aromatherapist,2221,Aromatherapist,Physiotherapists,83.3,no,Psychotherapists and cognitive behaviour therapists,80.0,Occupational therapists,78.6,,0.960,"Aromatherapist is a complementary/alternative therapy role and does not correspond well to any of the allowed regulated healthcare professions listed (e.g. physiotherapist, occupational therapist, pharmacist, podiatrist, optometrist) or the unrelated non-health roles. None of the candidates is an appropriate SOC2020 match for this title.",openai/gpt-5.4,yes,2221|2222|3411|5111|2251|2256|2226|2252,,,manual_review_y,100.0
art-editor,2491,Art editor,"Newspaper, periodical and broadcast editors",100.0,no,"Newspaper, periodical and broadcast editors",90.0,Transport and distribution clerks and assistants,70.0,3411,0.550,"'Art editor' is a creative/editorial title related most closely to artistic work among the allowed options. None of the candidates explicitly cover editors or publishing roles, but 3411 Artists is the nearest plausible match; the other options are clearly unrelated occupations.",openai/gpt-5.4,yes,3411|6137|4152|2255|4121|5311|6232|2454,2491,"Newspaper, periodical and broadcast editors",fuzzy,100.0
art-therapist,2229,Art therapist,Therapy professionals n.e.c.,100.0,no,Occupational therapists,88.0,Speech and language therapists,87.0,2222,0.720,"Art therapist is a therapist role within allied health rather than an artist occupation. Among the allowed candidates, Occupational therapists is the closest fit because art therapy is a therapeutic practice focused on supporting mental and functional wellbeing. Speech and language therapists and other psychologists are less directly aligned, and artists is not appropriate because the role is clinical rather than primarily creative.",openai/gpt-5.4,yes,2222|2221|3411|6213|6232|2223|2226|2251,2229,Therapy professionals n.e.c.,add_titles_exact,100.0
artificial-intelligence-ai-engineer,2129,Artificial intelligence (AI) engineer,Engineering professionals n.e.c.,81.5,no,Civil engineers,83.3,Artists,80.0,,0.980,"'Artificial intelligence (AI) engineer' is typically a digital/IT or data/AI specialist role, not an aerospace, mechanical, electrical, civil, production/process, aircraft maintenance, or financial occupation. None of the allowed SOC candidates fits this title well, so no_match is most appropriate.",openai/gpt-5.4,no,2126|2122|2123|2121|2125|5234|1131|4129,2129,Engineering professionals n.e.c.,manual_review_y,100.0
arts-administrator,4152,Arts administrator,Data entry administrators,91.4,no,Company secretaries and administrators,88.9,Database administrators and web content technicians,88.9,4214,0.420,"'Arts administrator' most strongly indicates a general administrative/coordination role within an arts organisation. Among the allowed candidates, 4214 'Company secretaries and administrators' is the closest broad administration match. 4151 'Sales administrators' is less suitable because the title does not suggest sales, and the other options are clearly unrelated.",openai/gpt-5.4,yes,4151|4152|4214|3433|8215|5323|4136|3412,4152,Data entry administrators,fuzzy,91.4
assistance-dog-trainer,3573,Assistance dog trainer,Information technology trainers,88.9,no,Finance officers,71.4,Artists,66.7,,0.990,"'Assistance dog trainer' is an animal training role, and none of the allowed SOC candidates relate to animal care, training, or similar occupations. The listed options (e.g. IT trainers, finance officers, drivers, dancers) are clearly mismatched, so no suitable match is available among the candidates.",openai/gpt-5.4,no,2126|3573|4124|8221|3414|9221|9262|8212,3573,Information technology trainers,api_ranked_manual_pass,88.9
assistant-immigration-officer,3319,Assistant immigration officer,Protective service associate professionals n.e.c.,100.0,no,Elementary administration occupations n.e.c.,72.7,Communication operators,72.7,,,,,,,3319,Protective service associate professionals n.e.c.,fuzzy,100.0
astronaut,2126,Astronaut,Aerospace engineers,66.7,no,Occupational therapists,66.7,IT managers,66.7,,,,,,,,,manual_review_override,100.0
astronomer,2119,Astronomer,Natural and social science professionals n.e.c.,70.0,no,Customer service supervisors,66.7,Customer service occupations n.e.c.,66.7,,,,,,,,,manual_review_override,100.0
athlete,3432,Athlete,"Sports coaches, instructors and officials",54.5,no,Routine inspectors and testers,61.5,Elected officers and representatives,61.5,,,,,,,2226,Other psychologists,manual_review_override,100.0
audio-visual-technician,3417,Audio visual technician,"Photographers, audio-visual and broadcasting equipment operators",100.0,no,Visual merchandisers and related occupations,66.7,"TV, video and audio servicers and repairers",66.7,,,,,,,3417,"Photographers, audio-visual and broadcasting equipment operators",add_titles_exact,100.0
audiologist,2259,Audiologist,Other health professionals n.e.c.,100.0,no,Other psychologists,77.8,Clinical psychologists,77.8,,,,,,,2259,Other health professionals n.e.c.,add_titles_exact,100.0
auditor,2421,Auditor,Chartered and certified accountants,100.0,no,"Newspaper, periodical and broadcast editors",83.3,"Authors, writers and translators",76.9,,,,,,,2421,Chartered and certified accountants,manual_review_override,100.0
auto-electrician,5231,Auto electrician,"Vehicle technicians, mechanics and electricians",100.0,no,Electricians and electrical fitters,81.5,Musicians,76.9,,,,,,,5231,"Vehicle technicians, mechanics and electricians",add_titles_exact,100.0
automotive-engineer,2122,Automotive engineer,Mechanical engineers,100.0,no,Engineering technicians,84.2,Aerospace engineers,71.4,,,,,,,2122,Mechanical engineers,fuzzy,100.0
automotive-parts-advisor,7115,Automotive parts advisor,Vehicle and parts salespersons and advisers,75.9,no,Customer service supervisors,61.9,Customer service managers,61.5,,,,,,,3572,Careers advisers and vocational guidance specialists,manual_review_override,100.0
bailiff,7122,Bailiff,"Debt, rent and other cash collectors",100.0,no,Bar staff,60.0,Sales and retail assistants,60.0,,,,,,,7122,"Debt, rent and other cash collectors",add_titles_exact,100.0
baker,5432,Baker,Bakers and flour confectioners,100.0,no,Caretakers,88.9,Tailors and dressmakers,88.9,,,,,,,5432,Bakers and flour confectioners,add_titles_exact,100.0
bank-manager,1131,Bank manager,Financial managers and directors,100.0,no,Bakers and flour confectioners,85.7,Non-commissioned officers and other ranks,85.7,,,,,,,1131,Financial managers and directors,add_titles_exact,100.0
bar-person,9266,Bar person,Coffee shop workers,75.0,no,Telephone salespersons,75.0,Personal assistants and other secretaries,75.0,,,,,,,9266,Coffee shop workers,manual_review_override,100.0
barista,9266,Barista,Coffee shop workers,100.0,no,Barristers and judges,85.7,Artists,83.3,,,,,,,9266,Coffee shop workers,add_titles_exact,100.0
barrister,2411,Barrister,Barristers and judges,100.0,no,Artists,83.3,Printers,76.9,,,,,,,2411,Barristers and judges,add_titles_exact,100.0
barrister-s-clerk,3520,Barrister's clerk,Legal associate professionals,100.0,no,Barristers and judges,80.0,Records clerks and assistants,72.7,,,,,,,3520,Legal associate professionals,add_titles_exact,100.0
beauty-consultant,2224,Beauty consultant,Psychotherapists and cognitive behaviour therapists,83.9,no,Beauticians and related occupations,90.9,Butchers,66.7,,,,,,,2431,Management consultants and business analysts,manual_review_override,100.0
beauty-therapist,6222,Beauty therapist,Beauticians and related occupations,100.0,no,Psychotherapists and cognitive behaviour therapists,78.6,Occupational therapists,78.6,,,,,,,6222,Beauticians and related occupations,add_titles_exact,100.0
beekeeper,5114,Beekeeper,Groundsmen and greenkeepers,88.9,no,Housekeepers and related occupations,77.8,Shopkeepers and owners - retail and wholesale,66.7,,,,,,,,,manual_review_y,100.0
bid-writer,3551,Bid writer,Buyers and procurement officers,100.0,no,Printers,83.3,Insurance underwriters,75.0,,,,,,,3551,Buyers and procurement officers,add_titles_exact,100.0
bilingual-secretary,4215,Bilingual secretary,Personal assistants and other secretaries,100.0,no,Caretakers,75.0,Senior care workers,75.0,,,,,,,4215,Personal assistants and other secretaries,fuzzy,100.0
bin-worker,5423,Bin worker,Print finishing and binding workers,90.0,no,Industrial cleaning process occupations,80.0,Inspectors of standards and regulations,80.0,,,,,,,5423,Print finishing and binding workers,fuzzy,90.0
biochemist,2113,Biochemist,Biochemists and biomedical scientists,100.0,no,Chefs,75.0,"Sports coaches, instructors and officials",70.0,,,,,,,2113,Biochemists and biomedical scientists,fuzzy,100.0
